Date,AAPL,MSFT,AMZN,TSLA,NVDA,JPM
2015-01-31,25.949113845825195,34.35873794555664,17.726499557495117,13.573332786560059,0.46067145466804504,40.2687873840332
2015-02-28,28.56418228149414,37.558231353759766,19.007999420166016,13.555999755859375,0.5313305258750916,45.3783073425293
2015-03-31,27.668071746826172,34.82594299316406,18.604999542236328,12.584667205810547,0.5041135549545288,44.85995101928711
2015-04-30,27.82817840576172,41.660945892333984,21.089000701904297,15.069999694824219,0.534702479839325,47.15586471557617
2015-05-31,29.08987045288086,40.397193908691406,21.46150016784668,16.719999313354492,0.5354834794998169,49.03435516357422
2015-06-30,28.006927490234375,38.06095886230469,21.704500198364258,17.884000778198242,0.48660513758659363,50.510292053222656
2015-07-31,27.084754943847656,40.25926208496094,26.8075008392334,17.74333381652832,0.482733815908432,51.41815948486328
2015-08-31,25.29184341430664,37.76523208618164,25.644500732421875,16.604000091552734,0.5462412238121033,48.09433364868164
2015-09-30,24.740076065063477,38.40739440917969,25.594499588012695,16.559999465942383,0.5989699959754944,45.74588394165039
2015-10-31,26.80361557006836,45.679290771484375,31.295000076293945,13.795332908630371,0.6893622279167175,48.554710388183594
2015-11-30,26.64804458618164,47.481056213378906,33.2400016784668,15.350666999816895,0.7736907601356506,50.3911018371582
2015-12-31,23.71067237854004,48.46825408935547,33.794498443603516,16.000667572021484,0.8039358258247375,49.89988327026367
2016-01-31,21.926631927490234,48.127540588378906,29.350000381469727,12.74666690826416,0.7144198417663574,45.266693115234375
2016-02-29,21.89840316772461,44.768768310546875,27.625999450683594,12.795332908630371,0.7676967978477478,42.83218765258789
2016-03-31,24.684110641479492,48.59627151489258,29.68199920654297,15.317999839782715,0.8722267746925354,45.05366516113281
2016-04-30,21.230274200439453,43.88007354736328,32.97949981689453,16.05066680908203,0.869778573513031,48.437583923339844
2016-05-31,22.7540340423584,46.96030044555664,36.13949966430664,14.881999969482422,1.1466811895370483,50.0240592956543
2016-06-30,21.783357620239258,45.33883285522461,35.78099822998047,14.152000427246094,1.153799057006836,47.62517166137695
2016-07-31,23.745223999023438,50.2209358215332,37.94049835205078,15.652667045593262,1.4014450311660767,49.409385681152344
2016-08-31,24.30684471130371,51.2293701171875,38.45800018310547,14.133999824523926,1.508284330368042,52.135902404785156
2016-09-30,25.899051666259766,51.354183197021484,41.865501403808594,13.60200023651123,1.6848329305648804,51.43302917480469
2016-10-31,26.01129913330078,53.42261505126953,39.49100112915039,13.182000160217285,1.7497479915618896,53.88418197631836
2016-11-30,25.449434280395508,54.08869934082031,37.528499603271484,12.626667022705078,2.2704930305480957,62.37214279174805
2016-12-31,26.669870376586914,55.77617263793945,37.493499755859375,14.246000289916992,2.6285510063171387,67.13349914550781
2017-01-31,27.943262100219727,58.029117584228516,41.17399978637695,16.795333862304688,2.6886379718780518,66.20632934570312
2017-02-28,31.681446075439453,57.7758674621582,42.25199890136719,16.666000366210938,2.502173662185669,70.8923110961914
2017-03-31,33.22400665283203,59.47358322143555,44.32699966430664,18.553333282470703,2.6858670711517334,68.7175064086914
2017-04-30,33.2216911315918,61.82146453857422,46.2495002746582,20.937999725341797,2.5717060565948486,68.45144653320312
2017-05-31,35.47437286376953,63.42915725708008,49.73099899291992,22.733999252319336,3.562959671020508,64.63545989990234
2017-06-30,33.444740295410156,62.602684020996094,48.400001525878906,24.107332229614258,3.568143129348755,71.9133529663086
2017-07-31,34.53851318359375,66.02660369873047,49.388999938964844,21.564666748046875,4.0111985206604,72.62535095214844
2017-08-31,38.23411178588867,68.26839447021484,49.029998779296875,23.726667404174805,4.185932636260986,71.90546417236328
2017-09-30,35.93073654174805,68.01273345947266,48.067501068115234,22.739999771118164,4.416426181793213,75.56045532226562
2017-10-31,39.40911102294922,75.9471206665039,55.263999938964844,22.101999282836914,5.109139919281006,80.06047058105469
2017-11-30,40.208248138427734,77.23696899414062,58.837501525878906,20.59000015258789,4.961887836456299,83.17185974121094
2017-12-31,39.59523391723633,78.49412536621094,58.4734992980957,20.75666618347168,4.78364372253418,85.09757232666016
2018-01-31,39.1740837097168,87.18407440185547,72.54450225830078,23.62066650390625,6.076589584350586,92.5239486694336
2018-02-28,41.845176696777344,86.4504165649414,75.62249755859375,22.87066650390625,5.986363887786865,92.38798522949219
2018-03-31,39.41603088378906,84.14557647705078,72.36699676513672,17.742000579833984,5.728851318359375,87.96455383300781
2018-04-30,38.82401657104492,86.21995544433594,78.30650329589844,19.593332290649414,5.563360214233398,87.45391845703125
2018-05-31,44.070064544677734,91.51963806152344,81.48100280761719,18.98200035095215,6.242292404174805,86.03091430664062
2018-06-30,43.65498733520508,91.30670928955078,84.98999786376953,22.863332748413086,5.863828182220459,83.77181243896484
2018-07-31,44.87661361694336,98.22341918945312,88.87200164794922,19.875999450683594,6.060856819152832,92.91651916503906
2018-08-31,53.87089538574219,104.41082763671875,100.635498046875,20.110666275024414,6.9512858390808105,92.617431640625
2018-09-30,53.42359161376953,106.30699157714844,100.1500015258789,17.65133285522461,6.959706783294678,91.2109375
2018-10-31,51.79536819458008,99.27996826171875,79.90049743652344,22.488000869750977,5.2213897705078125,88.74028015136719
2018-11-30,42.41017532348633,103.51760864257812,84.50849914550781,23.365333557128906,4.051537990570068,90.50659942626953
2018-12-31,37.46098327636719,94.81723022460938,75.09850311279297,22.18666648864746,3.3095526695251465,79.46088409423828
2019-01-31,39.5271110534668,97.48709869384766,85.9365005493164,20.468000411987305,3.563656806945801,84.93126678466797
2019-02-28,41.2969856262207,105.0284652709961,81.99150085449219,21.325332641601562,3.828148365020752,85.636962890625
2019-03-31,45.30385971069336,110.56908416748047,89.0374984741211,18.657333374023438,4.45599889755249,83.06851196289062
2019-04-30,47.860618591308594,122.43788146972656,96.32599639892578,15.912667274475098,4.491735458374023,95.95838165283203
2019-05-31,41.91571807861328,116.37957000732422,88.75350189208984,12.343999862670898,3.3654398918151855,87.6152572631836
2019-06-30,47.38652038574219,126.05276489257812,94.68150329589844,14.897333145141602,4.0802178382873535,92.44417572021484
2019-07-31,51.006595611572266,128.22642517089844,93.33899688720703,16.107332229614258,4.191769599914551,96.5960922241211
2019-08-31,50.16695785522461,130.15451049804688,88.81449890136719,15.040666580200195,4.16582727432251,91.48316955566406
2019-09-30,53.82722473144531,131.25912475585938,86.79550170898438,16.058000564575195,4.328968048095703,98.0033950805664
2019-10-31,59.78506088256836,135.35653686523438,88.83300018310547,20.994667053222656,4.999192714691162,104.85730743408203
2019-11-30,64.42163848876953,143.40518188476562,90.04000091552734,21.996000289916992,5.3941121101379395,110.59876251220703
2019-12-31,70.78546905517578,149.39219665527344,92.39199829101562,27.8886661529541,5.856024265289307,117.01173400878906
2020-01-31,74.60855102539062,161.26211547851562,100.43599700927734,43.371334075927734,5.884145259857178,111.8156509399414
2020-02-29,66.05084991455078,153.89434814453125,94.1875,44.53266525268555,6.725381851196289,98.08792877197266
2020-03-31,61.44304656982422,149.80978393554688,97.48600006103516,34.93333435058594,6.564262866973877,76.05593872070312
2020-04-30,70.98970031738281,170.23277282714844,123.69999694824219,52.12533187866211,7.278461933135986,81.7372055053711
2020-05-31,77.03050994873047,174.55520629882812,122.11849975585938,55.66666793823242,8.84083366394043,83.06021881103516
2020-06-30,88.38373565673828,193.85389709472656,137.9409942626953,71.98733520507812,9.464973449707031,80.28611755371094
2020-07-31,102.97869873046875,195.28273010253906,158.23399353027344,95.38400268554688,10.578119277954102,83.2921371459961
2020-08-31,125.28070068359375,215.34840393066406,172.54800415039062,166.10667419433594,13.328347206115723,86.35179901123047
2020-09-30,112.43612670898438,200.83460998535156,157.43649291992188,143.00332641601562,13.487839698791504,82.97322082519531
2020-10-31,105.68860626220703,193.32943725585938,151.8074951171875,129.34666442871094,12.49448299407959,85.28284454345703
2020-11-30,115.7811508178711,204.94088745117188,158.40199279785156,189.1999969482422,13.35925006866455,102.54122161865234
2020-12-31,129.04664611816406,212.93479919433594,162.84649658203125,235.22332763671875,13.017683029174805,110.53540802001953
2021-01-31,128.33670043945312,222.0679931640625,160.30999755859375,264.510009765625,12.952622413635254,112.73329162597656
2021-02-28,118.10670471191406,222.98245239257812,154.64649963378906,225.1666717529297,13.675299644470215,128.94190979003906
2021-03-31,118.97354888916016,226.23538208007812,154.70399475097656,222.64332580566406,13.31469440460205,133.3751983642578
2021-04-30,128.04148864746094,241.98171997070312,173.37100219726562,236.47999572753906,14.97176456451416,135.55319213867188
2021-05-31,121.57574462890625,240.1360626220703,161.15350341796875,208.4066619873047,16.203659057617188,144.74517822265625
2021-06-30,133.62501525878906,260.5449523925781,172.00799560546875,226.56666564941406,19.956787109375,137.07785034179688
2021-07-31,142.3083038330078,274.0193786621094,166.37950134277344,229.06666564941406,19.45443344116211,134.53501892089844
2021-08-31,148.3548583984375,290.896484375,173.5395050048828,245.24000549316406,22.337778091430664,141.77676391601562
2021-09-30,138.26133728027344,271.6628112792969,164.2519989013672,258.49334716796875,20.672300338745117,145.091796875
2021-10-31,146.371337890625,319.55450439453125,168.6215057373047,371.3333435058594,25.5130672454834,151.49481201171875
2021-11-30,161.7523193359375,319.1447448730469,175.35350036621094,381.586669921875,32.6070671081543,141.63230895996094
2021-12-31,173.75897216796875,324.6764831542969,166.7169952392578,352.260009765625,29.352550506591797,141.20433044433594
2022-01-31,171.0288543701172,300.2137451171875,149.57350158691406,312.239990234375,24.437335968017578,133.30430603027344
2022-02-28,161.78204345703125,289.0421447753906,153.56300354003906,290.1433410644531,24.336536407470703,127.20423889160156
2022-03-31,171.0802001953125,298.25152587890625,162.99749755859375,359.20001220703125,27.236412048339844,122.28831481933594
2022-04-30,154.46302795410156,268.4660949707031,124.28150177001953,290.2533264160156,18.51329803466797,107.86769104003906
2022-05-31,146.04539489746094,263.6129455566406,120.20950317382812,252.75332641601562,18.6380672454834,119.49853515625
2022-06-30,134.15293884277344,249.02976989746094,106.20999908447266,224.47332763671875,15.134649276733398,101.76761627197266
2022-07-31,159.458740234375,272.21356201171875,134.9499969482422,297.1499938964844,18.133825302124023,105.17500305175781
2022-08-31,154.4823455810547,254.0670166015625,126.7699966430664,275.6099853515625,15.069753646850586,103.68893432617188
2022-09-30,135.79348754882812,226.30587768554688,113.0,265.25,12.123101234436035,95.27383422851562
2022-10-31,150.6698760986328,225.5576934814453,102.44000244140625,227.5399932861328,13.47932243347168,115.79303741455078
2022-11-30,145.69363403320312,248.61488342285156,96.54000091552734,194.6999969482422,16.905162811279297,127.10740661621094
2022-12-31,127.87933349609375,233.6866455078125,84.0,123.18000030517578,14.598597526550293,123.35435485839844
2023-01-31,142.01268005371094,241.47232055664062,103.12999725341797,173.22000122070312,19.516407012939453,129.69573974609375
2023-02-28,145.30496215820312,243.64991760253906,94.2300033569336,205.7100067138672,23.191532135009766,132.837158203125
2023-03-31,162.54518127441406,281.63037109375,103.29000091552734,207.4600067138672,27.752431869506836,120.75347137451172
2023-04-30,167.2569122314453,300.15179443359375,105.44999694824219,164.30999755859375,27.724458694458008,129.1072540283203
2023-05-31,174.96051025390625,321.4942932128906,120.58000183105469,203.92999267578125,37.800533294677734,126.744384765625
2023-06-30,191.46453857421875,333.38916015625,130.36000061035156,261.7699890136719,42.26895523071289,135.8315887451172
